063,Marvel Scale,Boosts Defense if there is a status problem.,III,0,1,2
064,Liquid Ooze,Inflicts damage on foes using any draining move.,III,0,4,0
065,Overgrow,Powers up Grass-type moves in a pinch.,III,18,0,2
066,Blaze,Powers up Fire-type moves in a pinch.,III,18,0,2
067,Torrent,Powers up Water-type moves in a pinch.,III,18,0,2
068,Swarm,Powers up Bug-type moves in a pinch.,III,4,16,4
069,Rock Head,Protects the Pokémon from recoil damage.,III,2,17,1
070,Drought,The Pokémon makes it sunny if it is in battle.,III,2,0,2
071,Arena Trap,Prevents the foe from fleeing.,III,0,3,0
072,Vital Spirit,Prevents the Pokémon from falling asleep.,III,1,4,7
073,White Smoke,Prevents the Pokémon's stats from being lowered.,III,1,0,1
074,Pure Power,Boosts the power of physical attacks.,III,2,0,0
075,Shell Armor,The Pokémon is protected against critical hits.,III,2,13,7
076,Air Lock,Eliminates the effects of weather.,III,1,0,0
077,Tangled Feet,Raises evasion if the Pokémon is confused.,IV,0,5,2
078,Motor Drive,Raises Speed if hit by an Electric-type move.,IV,1,2,1
079,Rivalry,Raises Attack if the foe is of the same gender.,IV,0,14,4
080,Steadfast,Raises Speed each time the Pokémon flinches.,IV,2,3,5
081,Snow Cloak,Raises evasion in a hailstorm.,IV,4,3,1
082,Gluttony,Encourages the early use of a held Berry.,IV,6,4,9
083,Anger Point,Raises Attack upon taking a critical hit.,IV,0,3,4
084,Unburden,Raises Speed if a held item is used.,IV,0,5,7
085,Heatproof,Weakens the power of Fire-type moves.,IV,0,2,0
086,Simple,The Pokémon is prone to wild stat changes.,IV,0,3,2
087,Dry Skin,Reduces HP if it is hot. Water restores HP.,IV,0,6,1
088,Download,Adjusts power according to the foe’s lowest defensive stat.,IV,1,3,0
089,Iron Fist,Boosts the power of punching moves.,IV,0,5,7
090,Poison Heal,Restores HP if the Pokémon is poisoned.,IV,0,2,1
091,Adaptability,Powers up moves of the same type.,IV,2,4,5
092,Skill Link,Increases the frequency of multi-strike moves.,IV,1,2,4
093,Hydration,Heals status problems if it is raining.,IV,2,10,9
094,Solar Power,Boosts Sp. Atk, but lowers HP in sunshine.,IV,1,3,5
095,Quick Feet,Boosts Speed if there is a status problem.,IV,0,5,4
096,Normalize,All the Pokémon's moves become Normal type.,IV,0,2,0
097,Sniper,Powers up moves if they become critical hits.,IV,0,9,5
098,Magic Guard,The Pokémon only takes damage from attacks.,IV,0,7,3
099,No Guard,Ensures the Pokémon and its foe’s attacks land.,IV,3,3,3
100,Stall,The Pokémon moves after even slower foes.,IV,0,1,0
101,Technician,Powers up the Pokémon's weaker moves.,IV,1,9,5
102,Leaf Guard,Prevents status problems in sunny weather.,IV,1,6,7
103,Klutz,The Pokémon can’t use any held items.,IV,0,6,1
104,Mold Breaker,Moves can be used regardless of Abilities.,IV,4,6,7
105,Super Luck,Heightens the critical-hit ratios of moves.,IV,0,6,3
106,Aftermath,Damages the foe landing the finishing hit.,IV,0,4,4
107,Anticipation,Senses the foe’s dangerous moves.,IV,1,4,2
108,Forewarn,Determines what moves the foe has.,IV,0,6,0
109,Unaware,Ignores any change in stats by the foe.,IV,0,4,3
110,Tinted Lens,Powers up “not very effective” moves.,IV,0,4,5
111,Filter,Powers down supereffective moves.,IV,1,2,0
112,Slow Start,Temporarily halves Attack and Speed.,IV,1,0,0
113,Scrappy,Enables moves to hit Ghost-type foes.,IV,1,2,8
114,Storm Drain,The Pokémon draws in all Water-type moves.,IV,0,4,3
115,Ice Body,The Pokémon regains HP in a hailstorm.,IV,3,7,4
116,Solid Rock,Powers down supereffective moves.,IV,0,4,0
117,Snow Warning,The Pokémon summons a hailstorm in battle.,IV,2,0,2
118,Honey Gather,The Pokémon may gather Honey from somewhere.,IV,1,0,1
119,Frisk,The Pokémon can check the foe’s held item.,IV,0,12,8
120,Reckless,Powers up moves that have recoil damage.,IV,0,3,9
121,Multitype,Changes type to match the held Plate.,IV,1,0,0
122,Flower Gift,Powers up party Pokémon when it is sunny.,IV,1,0,0
123,Bad Dreams,Reduces a sleeping foe’s HP.,IV,1,0,0
124,Pickpocket,Steals attacking Pokémon's held item on contact.,V,0,0,7
125,Sheer Force,Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects.,V,2,6,17
126,Contrary,Inverts stat modifiers.,V,0,2,5
127,Unnerve,Prevents opposing Pokémon from eating held Berries.,V,0,4,15
128,Defiant,Raises Attack two stages upon having any stat lowered.,V,0,2,10
129,Defeatist,Halves Attack and Special Attack below 50% HP.,V,2,0,0
130,Cursed Body,Has a 30% chance of Disabling any move that hits the Pokémon.,V,0,2,3
131,Healer,Has a 30% chance of curing each adjacent ally of any major status ailment after each turn.,V,3,2,3
132,Friend Guard,Decreases damage inflicted against ally Pokémon.,V,0,0,8
133,Weak Armor,Raises Speed and lowers Defense by one stage each upon being hit by any move.,V,0,1,15
134,Heavy Metal,Doubles the Pokémon's weight.,V,0,0,5
135,Light Metal,Halves the Pokémon's weight.,V,0,0,5
136,Multiscale,Halves damage taken from full HP.,V,0,0,2
137,Toxic Boost,Increases Attack to 1.5× when poisoned.,V,0,0,1
138,Flare Boost,Increases Special Attack to 1.5× when burned.,V,0,0,2
139,Harvest,Sometimes restores a consumed Berry.,V,0,0,5
140,Telepathy,Protects against damaging moves from friendly Pokémon.,V,0,2,14
141,Moody,Raises a random stat two stages and lowers another one stage after each turn.,V,0,0,7
142,Overcoat,Protects against damage from weather.,V,0,5,12
143,Poison Touch,Has a 30% chance of poisoning Pokémon upon contact when attacking.,V,0,3,4
144,Regenerator,Heals for 1/3 max HP upon leaving battle.,V,1,3,13
145,Big Pecks,Protects the Pokémon from Defense-lowering attacks.,V,1,7,4
146,Sand Rush,Doubles Speed during a sandstorm.,V,0,4,2
147,Wonder Skin,Has a 50% chance of protecting against non-damaging moves that inflict major status ailments.,V,0,1,3
148,Analytic,Strengthens moves when moving last.,V,0,0,12
149,Illusion,Takes the appearance of the last conscious party Pokémon upon being sent out until hit by a damaging move.,V,2,0,0
150,Imposter,Transforms upon entering battle.,V,0,0,1
151,Infiltrator,Ignores Light Screen, Reflect, and Safeguard.,V,0,6,14
152,Mummy,Contact with this Pokémon spreads this Ability.,V,2,0,0
153,Moxie,Raises Attack one stage upon KOing a Pokémon.,V,0,5,8
154,Justified,Raises Attack when hit by Dark-type moves.,V,4,0,5
155,Rattled,Raises Speed one stage upon being hit by a Dark, Ghost, or Bug move.,V,0,0,11
156,Magic Bounce,Reflects most non-damaging moves back at their user.,V,3,0,3
157,Sap Sipper,Absorbs Grass moves, raising Attack one stage.,V,2,6,8
158,Prankster,Raises non-damaging moves' priority by one stage.,V,4,2,8
159,Sand Force,Strengthens Rock, Ground, and Steel moves to 1.3× their power during a sandstorm.,V,3,2,13
160,Iron Barbs,Damages attacking Pokémon for 1/8 their max HP on contact.,V,2,0,0
161,Zen Mode,Changes the Pokémon's shape when HP is halved.,V,0,0,1
162,Victory Star,Raises moves' accuracy to 1.1× for friendly Pokémon.,V,1,0,0
163,Turboblaze,Moves can be used regardless of Abilities.,V,2,0,0
164,Teravolt,Moves can be used regardless of Abilities.,V,2,0,0
165,Aroma Veil,Protects allies from attacks that limit their move choices.,VI,0,0,2
166,Flower Veil,Prevents lowering of ally Grass-type Pokémon's stats.,VI,3,0,0
167,Cheek Pouch,Restores HP as well when the Pokémon eats a Berry.,VI,0,3,0
168,Protean,Changes the Pokémon's type to the same type of the move it is using.,VI,0,0,4
169,Fur Coat,Halves damage from physical moves.,VI,1,0,0
170,Magician,The Pokémon steals the held item of a Pokémon it hits with a move.,VI,1,0,4
171,Bulletproof,Protects the Pokémon from some ball and bomb moves.,VI,0,0,3
172,Competitive,Boosts the Sp.Atk stat when a stat is lowered.,VI,0,7,1
173,Strong Jaw,The Pokémon's strong jaw gives it tremendous biting power.,VI,3,0,0
174,Refrigerate,Normal-type moves become Ice-type moves.,VI,3,0,0
175,Sweet Veil,Prevents itself and its allies from falling asleep.,VI,2,0,0
176,Stance Change,The Pokémon changes form depending on how it battles.,VI,1,0,0
177,Gale Wings,Gives priority to Flying-type moves.,VI,0,0,3
178,Mega Launcher,Powers up aura and pulse moves.,VI,3,0,0
179,Grass Pelt,Boosts the Defense stat in Grassy Terrain.,VI,0,0,2
180,Symbiosis,The Pokémon can pass an item to an ally.,VI,0,0,3
181,Tough Claws,Powers up moves that make direct contact.,VI,3,2,0
182,Pixilate,Normal-type moves become Fairy-type moves.,VI,2,0,1
183,Gooey,Contact with the Pokémon lowers the attacker's Speed stat.,VI,0,0,3
184,Aerilate,Normal-type moves become Flying-type moves.,VI,2,0,0
185,Parental Bond,Parent and child attack together.,VI,1,0,0
186,Dark Aura,Powers up each Pokémon's Dark-type moves.,VI,1,0,0
187,Fairy Aura,Powers up each Pokémon's Fairy-type moves.,VI,1,0,0
188,Aura Break,The effects of "Aura" Abilities are reversed.,VI,1,0,0
189,Primordial Sea,Causes heavy rain.,VI,1,0,0
190,Desolate Land,Creates harsh sunlight.,VI,1,0,0
191,Delta Stream,Eliminates weather effects and eliminates weaknesses of Flying-type Pokémon.,VI,1,0,0
