0,Name,Type,Category,0,0,0
76,Solar Beam,Grass,Special,10,10,100
77,Poison Powder,Poison,Status,35,35,75
78,Stun Spore,Grass,Status,30,30,75
79,Sleep Powder,Grass,Status,15,15,75
80,Petal Dance,Grass,Special,10,10,100
81,String Shot,Bug,Status,40,40,95
82,Dragon Rage,Dragon,Special,10,10,100
83,Fire Spin,Fire,Special,15,15,85
84,Thunder Shock,Electric,Special,30,30,100
85,Thunderbolt,Electric,Special,15,15,100
86,Thunder Wave,Electric,Status,20,20,100
87,Thunder,Electric,Special,10,10,70
88,Rock Throw,Rock,Physical,15,15,90
89,Earthquake,Ground,Physical,10,10,100
90,Fissure,Ground,Physical,5,5,100
91,Dig,Ground,Physical,10,10,100
92,Toxic,Poison,Status,10,10,90
93,Confusion,Psychic,Special,25,25,100
94,Psychic,Psychic,Special,10,10,100
95,Hypnosis,Psychic,Status,20,20,60
96,Meditate,Psychic,Status,40,40,100
97,Agility,Psychic,Status,30,30,100
98,Quick Attack,Normal,Physical,30,30,100
99,Rage,Normal,Physical,20,20,100
100,Teleport,Psychic,Status,20,20,100
101,Night Shade,Ghost,Special,15,15,100
102,Mimic,Normal,Status,10,10,100
103,Screech,Normal,Status,40,40,85
104,Double Team,Normal,Status,15,15,100
105,Recover,Normal,Status,10,10,100
106,Harden,Normal,Status,30,30,100
107,Minimize,Normal,Status,10,10,100
108,Smokescreen,Normal,Status,20,20,100
109,Confuse Ray,Ghost,Status,10,10,100
110,Withdraw,Water,Status,40,40,100
111,Defense Curl,Normal,Status,40,40,100
112,Barrier,Psychic,Status,20,20,100
113,Light Screen,Psychic,Status,30,30,100
114,Haze,Ice,Status,30,30,100
115,Reflect,Psychic,Status,20,20,100100
116,Focus Energy,Normal,Status,30,30,100
117,Bide,Normal,Physical,10,10,100
118,Metronome,Normal,Status,10,10,
119,Mirror Move,Flying,Status,20,20,
120,Self-Destruct,Normal,Physical,5,5,100
121,Egg Bomb,Normal,Physical,10,10,75
122,Lick,Ghost,Physical,30,30,100
123,Smog,Poison,Special,20,20,70
124,Sludge,Poison,Special,20,20,100
125,Bone Club,Ground,Physical,20,20,85
126,Fire Blast,Fire,Special,5,5,85
127,Waterfall,Water,Physical,15,15,100
128,Clamp,Water,Physical,15,15,85
129,Swift,Normal,Special,20,20,100
130,Skull Bash,Normal,Physical,10,10,100
131,Spike Cannon,Normal,Physical,15,15,100
132,Constrict,Normal,Physical,35,35,100
133,Amnesia,Psychic,Status,20,20,100
134,Kinesis,Psychic,Status,15,15,80
135,Soft-Boiled,Normal,Status,10,10,100
136,High Jump Kick,Fighting,Physical,10,10,90
137,Glare,Normal,Status,30,30,100
138,Dream Eater,Psychic,Special,15,15,100
139,Poison Gas,Poison,Status,40,40,90
140,Barrage,Normal,Physical,20,20,85
141,Leech Life,Bug,Physical,15,15,100
142,Lovely Kiss,Normal,Status,10,10,75
143,Sky Attack,Flying,Physical,5,5,90
144,Transform,Normal,Status,10,10,100
145,Bubble,Water,Special,30,30,100
146,Dizzy Punch,Normal,Physical,10,10,100
147,Spore,Grass,Status,15,15,100
148,Flash,Normal,Status,20,20,100
149,Psywave,Psychic,Special,15,15,100
150,Splash,Normal,Status,40,40,100
151,Acid Armor,Poison,Status,20,20,100
152,Crabhammer,Water,Physical,10,10,90
153,Explosion,Normal,Physical,5,5,100
154,Fury Swipes,Normal,Physical,15,15,80
155,Bonemerang,Ground,Physical,10,10,90
156,Rest,Psychic,Status,10,10,100
157,Rock Slide,Rock,Physical,10,10,90
158,Hyper Fang,Normal,Physical,15,15,90
159,Sharpen,Normal,Status,30,30,100
160,Conversion,Normal,Status,30,30,100
161,Tri Attack,Normal,Special,10,10,100
162,Super Fang,Normal,Physical,10,10,90
163,Slash,Normal,Physical,20,20,100
164,Substitute,Normal,Status,10,10,100
165,Struggle,Normal,Physical,1,1,100
166,Sketch,Normal,Status,1,1,100
167,Triple Kick,Fighting,Physical,10,10,90
168,Thief,Dark,Physical,25,25,100
169,Spider Web,Bug,Status,10,10,100
170,Mind Reader,Normal,Status,5,5,100
171,Nightmare,Ghost,Status,15,15,100
172,Flame Wheel,Fire,Physical,25,25,100
173,Snore,Normal,Special,15,15,100
174,Curse,Ghost,Status,10,10,100
175,Flail,Normal,Physical,15,15,100
176,Conversion 2,Normal,Status,30,30,100
177,Aeroblast,Flying,Special,5,5,95
178,Cotton Spore,Grass,Status,40,40,100
179,Reversal,Fighting,Physical,15,15,100
180,Spite,Ghost,Status,10,10,100
181,Powder Snow,Ice,Special,25,25,100
182,Protect,Normal,Status,10,10,100
183,Mach Punch,Fighting,Physical,30,30,100
184,Scary Face,Normal,Status,10,10,100
185,Feint Attack,Dark,Physical,20,20,100
186,Sweet Kiss,Fairy,Status,10,10,75
187,Belly Drum,Normal,Status,10,10,100
188,Sludge Bomb,Poison,Special,10,10,100
189,Mud-Slap,Ground,Special,10,10,100
190,Octazooka,Water,Special,10,10,85
191,Spikes,Ground,Status,20,20,100
192,Zap Cannon,Electric,Special,5,5,50
193,Foresight,Normal,Status,40,40,100
194,Destiny Bond,Ghost,Status,5,5,100
195,Perish Song,Normal,Status,5,5,100
196,Icy Wind,Ice,Special,15,15,95
197,Detect,Fighting,Status,5,5,100
198,Bone Rush,Ground,Physical,10,10,90
199,Lock-On,Normal,Status,5,5,100
200,Outrage,Dragon,Physical,10,10,100
201,Sandstorm,Rock,Status,10,10,100
202,Giga Drain,Grass,Special,10,10,100
203,Endure,Normal,Status,10,10,100
204,Charm,Fairy,Status,20,20,100
205,Rollout,Rock,Physical,20,20,90
206,False Swipe,Normal,Physical,40,40,100
207,Swagger,Normal,Status,15,15,90
208,Milk Drink,Normal,Status,10,10,100
209,Spark,Electric,Physical,20,20,100
210,Fury Cutter,Bug,Physical,20,20,95
211,Steel Wing,Steel,Physical,25,25,90
212,Mean Look,Normal,Status,5,5,100
213,Attract,Normal,Status,15,15,100
214,Sleep Talk,Normal,Status,10,10,100
215,Heal Bell,Normal,Status,5,5,100
216,Return,Normal,Physical,20,20,100
217,Present,Normal,Physical,15,15,90
218,Frustration,Normal,Physical,20,20,100
219,Safeguard,Normal,Status,25,25,100
220,Pain Split,Normal,Status,20,20,100
221,Sacred Fire,Fire,Physical,5,5,95
222,Magnitude,Ground,Physical,30,30,100
223,Dynamic Punch,Fighting,Physical,5,5,50
224,Megahorn,Bug,Physical,10,10,85
225,Dragon Breath,Dragon,Special,20,20,100
226,Baton Pass,Normal,Status,40,40,100
227,Encore,Normal,Status,5,5,100
228,Pursuit,Dark,Physical,20,20,100
229,Rapid Spin,Normal,Physical,40,40,100
230,Sweet Scent,Normal,Status,20,20,100
231,Iron Tail,Steel,Physical,15,15,75
232,Metal Claw,Steel,Physical,35,35,95
233,Vital Throw,Fighting,Physical,10,10,100
234,Morning Sun,Normal,Status,5,5,100
235,Synthesis,Grass,Status,5,5,100
236,Moonlight,Fairy,Status,5,5,100
237,Hidden Power,Normal,Special,15,15,100
238,Cross Chop,Fighting,Physical,5,5,80
239,Twister,Dragon,Special,20,20,100
240,Rain Dance,Water,Status,5,5,100
241,Sunny Day,Fire,Status,5,5,100
242,Crunch,Dark,Physical,15,15,100
243,Mirror Coat,Psychic,Special,20,20,100
244,Psych Up,Normal,Status,10,10,100
245,Extreme Speed,Normal,Physical,5,5,100
246,Ancient Power,Rock,Special,5,5,100
247,Shadow Ball,Ghost,Special,15,15,100
248,Future Sight,Psychic,Special,10,10,100
249,Rock Smash,Fighting,Physical,15,15,100
250,Whirlpool,Water,Special,15,15,85
251,Beat Up,Dark,Physical,10,10,100
252,Fake Out,Normal,Physical,10,10,100
253,Uproar,Normal,Special,10,10,100
254,Stockpile,Normal,Status,20,20,100
255,Spit Up,Normal,Special,10,10,100
256,Swallow,Normal,Status,10,10,100
257,Heat Wave,Fire,Special,10,10,90
258,Hail,Ice,Status,10,10,100
259,Torment,Dark,Status,15,15,100
260,Flatter,Dark,Status,15,15,100
261,Will-O-Wisp,Fire,Status,15,15,85
262,Memento,Dark,Status,10,10,100
263,Facade,Normal,Physical,20,20,100
264,Focus Punch,Fighting,Physical,20,20,100
265,Smelling Salts,Normal,Physical,10,10,100
266,Follow Me,Normal,Status,20,20,100
267,Nature Power,Normal,Status,20,20,100
268,Charge,Electric,Status,20,20,100
269,Taunt,Dark,Status,20,20,100
270,Helping Hand,Normal,Status,20,20,100
271,Trick,Psychic,Status,10,10,100
272,Role Play,Psychic,Status,10,10,100
273,Wish,Normal,Status,10,10,100
274,Assist,Normal,Status,20,20,100
275,Ingrain,Grass,Status,20,20,100
276,Superpower,Fighting,Physical,5,5,100
277,Magic Coat,Psychic,Status,15,15,100
278,Recycle,Normal,Status,10,10,100
279,Revenge,Fighting,Physical,10,10,100
280,Brick Break,Fighting,Physical,15,15,100
281,Yawn,Normal,Status,10,10,100
282,Knock Off,Dark,Physical,20,20,100
283,Endeavor,Normal,Physical,5,5,100
284,Eruption,Fire,Special,5,5,100
285,Skill Swap,Psychic,Status,10,10,100
286,Imprison,Psychic,Status,10,10,100
287,Refresh,Normal,Status,20,20,100
288,Grudge,Ghost,Status,5,5,100
289,Snatch,Dark,Status,10,10,100
290,Secret Power,Normal,Physical,20,20,100
291,Dive,Water,Physical,10,10,100
292,Arm Thrust,Fighting,Physical,20,20,100
293,Camouflage,Normal,Status,20,20,100
294,Tail Glow,Bug,Status,20,20,100
295,Luster Purge,Psychic,Special,5,5,100
296,Mist Ball,Psychic,Special,5,5,100
297,Feather Dance,Flying,Status,15,15,100
298,Teeter Dance,Normal,Status,20,20,100
299,Blaze Kick,Fire,Physical,10,10,90
300,Mud Sport,Ground,Status,15,15,100
301,Ice Ball,Ice,Physical,20,20,90
302,Needle Arm,Grass,Physical,15,15,100
303,Slack Off,Normal,Status,10,10,100
304,Hyper Voice,Normal,Special,10,10,100
305,Poison Fang,Poison,Physical,15,15,100
306,Crush Claw,Normal,Physical,10,10,95
307,Blast Burn,Fire,Special,5,5,90
308,Hydro Cannon,Water,Special,5,5,90
309,Meteor Mash,Steel,Physical,10,10,90
310,Astonish,Ghost,Physical,15,15,100
311,Weather Ball,Normal,Special,10,10,100
312,Aromatherapy,Grass,Status,5,5,100
313,Fake Tears,Dark,Status,20,20,100
314,Air Cutter,Flying,Special,25,25,95
315,Overheat,Fire,Special,5,5,90
316,Odor Sleuth,Normal,Status,40,40,100
317,Rock Tomb,Rock,Physical,15,15,95
318,Silver Wind,Bug,Special,5,5,100
319,Metal Sound,Steel,Status,40,40,85
320,Grass Whistle,Grass,Status,15,15,55
321,Tickle,Normal,Status,20,20,100
322,Cosmic Power,Psychic,Status,20,20,100
323,Water Spout,Water,Special,5,5,100
324,Signal Beam,Bug,Special,15,15,100
325,Shadow Punch,Ghost,Physical,20,20,100
326,Extrasensory,Psychic,Special,20,20,100
327,Sky Uppercut,Fighting,Physical,15,15,90
328,Sand Tomb,Ground,Physical,15,15,85
329,Sheer Cold,Ice,Special,5,5,100
330,Muddy Water,Water,Special,10,10,85
331,Bullet Seed,Grass,Physical,30,30,100
332,Aerial Ace,Flying,Physical,20,20,100
333,Icicle Spear,Ice,Physical,30,30,100
334,Iron Defense,Steel,Status,15,15,100
335,Block,Normal,Status,5,5,100
336,Howl,Normal,Status,40,40,100
337,Dragon Claw,Dragon,Physical,15,15,100
338,Frenzy Plant,Grass,Special,5,5,90
339,Bulk Up,Fighting,Status,20,20,100
340,Bounce,Flying,Physical,5,5,85
341,Mud Shot,Ground,Special,15,15,95
342,Poison Tail,Poison,Physical,25,25,100
343,Covet,Normal,Physical,25,25,100
344,Volt Tackle,Electric,Physical,15,15,100
345,Magical Leaf,Grass,Special,20,20,100
346,Water Sport,Water,Status,15,15,100
347,Calm Mind,Psychic,Status,20,20,100
348,Leaf Blade,Grass,Physical,15,15,100
349,Dragon Dance,Dragon,Status,20,20,100
350,Rock Blast,Rock,Physical,10,10,90
351,Shock Wave,Electric,Special,20,20,100
352,Water Pulse,Water,Special,20,20,100
353,Doom Desire,Steel,Special,5,5,100
354,Psycho Boost,Psychic,Special,5,5,90
355,Roost,Flying,Status,10,10,100
356,Gravity,Psychic,Status,5,5,100
357,Miracle Eye,Psychic,Status,40,40,100
358,Wake-Up Slap,Fighting,Physical,10,10,100
359,Hammer Arm,Fighting,Physical,10,10,90
360,Gyro Ball,Steel,Physical,5,5,100
361,Healing Wish,Psychic,Status,10,10,100
362,Brine,Water,Special,10,10,100
363,Natural Gift,Normal,Physical,15,15,100
364,Feint,Normal,Physical,10,10,100
365,Pluck,Flying,Physical,20,20,100
366,Tailwind,Flying,Status,15,15,100
367,Acupressure,Normal,Status,30,30,100
368,Metal Burst,Steel,Physical,10,10,100
369,U-turn,Bug,Physical,20,20,100
370,Close Combat,Fighting,Physical,5,5,100
371,Payback,Dark,Physical,10,10,100
372,Assurance,Dark,Physical,10,10,100
373,Embargo,Dark,Status,15,15,100
374,Fling,Dark,Physical,10,10,100
375,Psycho Shift,Psychic,Status,10,10,100
376,Trump Card,Normal,Special,5,5,100
377,Heal Block,Psychic,Status,15,15,100
378,Wring Out,Normal,Special,5,5,100
379,Power Trick,Psychic,Status,10,10,100
380,Gastro Acid,Poison,Status,10,10,100
381,Lucky Chant,Normal,Status,30,30,100
382,Me First,Normal,Status,20,20,100
383,Copycat,Normal,Status,20,20,100
384,Power Swap,Psychic,Status,10,10,100
385,Guard Swap,Psychic,Status,10,10,100
386,Punishment,Dark,Physical,5,5,100
387,Last Resort,Normal,Physical,5,5,100
388,Worry Seed,Grass,Status,10,10,100
389,Sucker Punch,Dark,Physical,5,5,100
390,Toxic Spikes,Poison,Status,20,20,100
391,Heart Swap,Psychic,Status,10,10,100
392,Aqua Ring,Water,Status,20,20,100
393,Magnet Rise,Electric,Status,10,10,100
394,Flare Blitz,Fire,Physical,15,15,100
395,Force Palm,Fighting,Physical,10,10,100
396,Aura Sphere,Fighting,Special,20,20,100
397,Rock Polish,Rock,Status,20,20,100
398,Poison Jab,Poison,Physical,20,20,100
399,Dark Pulse,Dark,Special,15,15,100
400,Night Slash,Dark,Physical,15,15,100
401,Aqua Tail,Water,Physical,10,10,90
402,Seed Bomb,Grass,Physical,15,15,100
403,Air Slash,Flying,Special,15,15,95
404,X-Scissor,Bug,Physical,15,15,100
405,Bug Buzz,Bug,Special,10,10,100
406,Dragon Pulse,Dragon,Special,10,10,100
407,Dragon Rush,Dragon,Physical,10,10,75
408,Power Gem,Rock,Special,20,20,100
409,Drain Punch,Fighting,Physical,10,10,100
410,Vacuum Wave,Fighting,Special,30,30,100
411,Focus Blast,Fighting,Special,5,5,70
412,Energy Ball,Grass,Special,10,10,100
413,Brave Bird,Flying,Physical,15,15,100
414,Earth Power,Ground,Special,10,10,100
415,Switcheroo,Dark,Status,10,10,100
416,Giga Impact,Normal,Physical,5,5,90
417,Nasty Plot,Dark,Status,20,20,100
418,Bullet Punch,Steel,Physical,30,30,100
419,Avalanche,Ice,Physical,10,10,100
420,Ice Shard,Ice,Physical,30,30,100
421,Shadow Claw,Ghost,Physical,15,15,100
422,Thunder Fang,Electric,Physical,15,15,95
423,Ice Fang,Ice,Physical,15,15,95
424,Fire Fang,Fire,Physical,15,15,95
425,Shadow Sneak,Ghost,Physical,30,30,100
426,Mud Bomb,Ground,Special,10,10,85
427,Psycho Cut,Psychic,Physical,20,20,100
428,Zen Headbutt,Psychic,Physical,15,15,90
429,Mirror Shot,Steel,Special,10,10,85
430,Flash Cannon,Steel,Special,10,10,100
431,Rock Climb,Normal,Physical,20,20,85
432,Defog,Flying,Status,15,15,100
433,Trick Room,Psychic,Status,5,5,100
434,Draco Meteor,Dragon,Special,5,5,90
435,Discharge,Electric,Special,15,15,100
436,Lava Plume,Fire,Special,15,15,100
437,Leaf Storm,Grass,Special,5,5,90
438,Power Whip,Grass,Physical,10,10,85
439,Rock Wrecker,Rock,Physical,5,5,90
440,Cross Poison,Poison,Physical,20,20,100
441,Gunk Shot,Poison,Physical,5,5,80
442,Iron Head,Steel,Physical,15,15,100
443,Magnet Bomb,Steel,Physical,20,20,100
444,Stone Edge,Rock,Physical,5,5,80
445,Captivate,Normal,Status,20,20,100
446,Stealth Rock,Rock,Status,20,20,100
447,Grass Knot,Grass,Special,20,20,100
448,Chatter,Flying,Special,20,20,100
449,Judgment,Normal,Special,10,10,100
450,Bug Bite,Bug,Physical,20,20,100
451,Charge Beam,Electric,Special,10,10,90
452,Wood Hammer,Grass,Physical,15,15,100
453,Aqua Jet,Water,Physical,20,20,100
454,Attack Order,Bug,Physical,15,15,100
455,Defend Order,Bug,Status,10,10,100
456,Heal Order,Bug,Status,10,10,100
457,Head Smash,Rock,Physical,5,5,80
458,Double Hit,Normal,Physical,10,10,90
459,Roar of Time,Dragon,Special,5,5,90
460,Spacial Rend,Dragon,Special,5,5,95
461,Lunar Dance,Psychic,Status,10,10,100
462,Crush Grip,Normal,Physical,5,5,100
463,Magma Storm,Fire,Special,5,5,75
464,Dark Void,Dark,Status,10,10,80
465,Seed Flare,Grass,Special,5,5,85
466,Ominous Wind,Ghost,Special,5,5,100
467,Shadow Force,Ghost,Physical,5,5,100
468,Hone Claws,Dark,Status,15,15,100
469,Wide Guard,Rock,Status,10,10,100
470,Guard Split,Psychic,Status,10,10,100
471,Power Split,Psychic,Status,10,10,100
472,Wonder Room,Psychic,Status,10,10,100
473,Psyshock,Psychic,Special,10,10,100
474,Venoshock,Poison,Special,10,10,100
475,Autotomize,Steel,Status,15,15,100
476,Rage Powder,Bug,Status,20,20,100
477,Telekinesis,Psychic,Status,15,15,100
478,Magic Room,Psychic,Status,10,10,100
479,Smack Down,Rock,Physical,15,15,100
480,Storm Throw,Fighting,Physical,10,10,100
481,Flame Burst,Fire,Special,15,15,100
482,Sludge Wave,Poison,Special,10,10,100
483,Quiver Dance,Bug,Status,20,20,100
484,Heavy Slam,Steel,Physical,10,10,100
485,Synchronoise,Psychic,Special,15,15,100
486,Electro Ball,Electric,Special,10,10,100
487,Soak,Water,Status,20,20,100
488,Flame Charge,Fire,Physical,20,20,100
489,Coil,Poison,Status,20,20,100
490,Low Sweep,Fighting,Physical,20,20,100
491,Acid Spray,Poison,Special,20,20,100
492,Foul Play,Dark,Physical,15,15,100
493,Simple Beam,Normal,Status,15,15,100
494,Entrainment,Normal,Status,15,15,100
495,After You,Normal,Status,15,15,100
496,Round,Normal,Special,15,15,100
497,Echoed Voice,Normal,Special,15,15,100
498,Chip Away,Normal,Physical,20,20,100
499,Clear Smog,Poison,Special,15,15,100
500,Stored Power,Psychic,Special,10,10,100
501,Quick Guard,Fighting,Status,15,15,100
502,Ally Switch,Psychic,Status,15,15,100
503,Scald,Water,Special,15,15,100
504,Shell Smash,Normal,Status,15,15,100
505,Heal Pulse,Psychic,Status,10,10,100
506,Hex,Ghost,Special,10,10,100
507,Sky Drop,Flying,Physical,10,10,100
508,Shift Gear,Steel,Status,10,10,100
509,Circle Throw,Fighting,Physical,10,10,90
510,Incinerate,Fire,Special,15,15,100
511,Quash,Dark,Status,15,15,100
512,Acrobatics,Flying,Physical,15,15,100
513,Reflect Type,Normal,Status,15,15,100
514,Retaliate,Normal,Physical,5,5,100
515,Final Gambit,Fighting,Special,5,5,100
516,Bestow,Normal,Status,15,15,100
517,Inferno,Fire,Special,5,5,50
518,Water Pledge,Water,Special,10,10,100
519,Fire Pledge,Fire,Special,10,10,100
520,Grass Pledge,Grass,Special,10,10,100
521,Volt Switch,Electric,Special,20,20,100
522,Struggle Bug,Bug,Special,20,20,100
523,Bulldoze,Ground,Physical,20,20,100
524,Frost Breath,Ice,Special,10,10,90
525,Dragon Tail,Dragon,Physical,10,10,90
526,Work Up,Normal,Status,30,30,100
527,Electroweb,Electric,Special,15,15,95
528,Wild Charge,Electric,Physical,15,15,100
529,Drill Run,Ground,Physical,10,10,95
530,Dual Chop,Dragon,Physical,15,15,90
531,Heart Stamp,Psychic,Physical,25,25,100
532,Horn Leech,Grass,Physical,10,10,100
533,Sacred Sword,Fighting,Physical,15,15,100
534,Razor Shell,Water,Physical,10,10,95
535,Heat Crash,Fire,Physical,10,10,100
536,Leaf Tornado,Grass,Special,10,10,90
537,Steamroller,Bug,Physical,20,20,100
538,Cotton Guard,Grass,Status,10,10,100
539,Night Daze,Dark,Special,10,10,95
540,Psystrike,Psychic,Special,10,10,100
541,Tail Slap,Normal,Physical,10,10,85
542,Hurricane,Flying,Special,10,10,70
543,Head Charge,Normal,Physical,15,15,100
544,Gear Grind,Steel,Physical,15,15,85
545,Searing Shot,Fire,Special,5,5,100
546,Techno Blast,Normal,Special,5,5,100
547,Relic Song,Normal,Special,10,10,100
548,Secret Sword,Fighting,Special,10,10,100
549,Glaciate,Ice,Special,10,10,95
550,Bolt Strike,Electric,Physical,5,5,85
551,Blue Flare,Fire,Special,5,5,85
552,Fiery Dance,Fire,Special,10,10,100
553,Freeze Shock,Ice,Physical,5,5,90
554,Ice Burn,Ice,Special,5,5,90
555,Snarl,Dark,Special,15,15,95
556,Icicle Crash,Ice,Physical,10,10,90
557,V-create,Fire,Physical,5,5,95
558,Fusion Flare,Fire,Special,5,5,100
559,Fusion Bolt,Electric,Physical,5,5,100
560,Flying Press,Fighting,Physical,10,10,95
561,Mat Block,Fighting,Status,10,10,100
562,Belch,Poison,Special,10,10,90
563,Rototiller,Ground,Status,10,10,100
564,Sticky Web,Bug,Status,20,20,100
565,Fell Stinger,Bug,Physical,25,25,100
566,Phantom Force,Ghost,Physical,10,10,100
567,Trick-or-Treat,Ghost,Status,20,20,100
568,Noble Roar,Normal,Status,30,30,100
569,Ion Deluge,Electric,Status,25,25,100
570,Parabolic Charge,Electric,Special,20,20,100
571,Forest's Curse,Grass,Status,20,20,100
572,Petal Blizzard,Grass,Physical,15,15,100
573,Freeze-Dry,Ice,Special,20,20,100
574,Disarming Voice,Fairy,Special,15,15,100
575,Parting Shot,Dark,Status,20,20,100
576,Topsy-Turvy,Dark,Status,20,20,100
577,Draining Kiss,Fairy,Special,10,10,100
578,Crafty Shield,Fairy,Status,10,10,100
579,Flower Shield,Fairy,Status,10,10,100
580,Grassy Terrain,Grass,Status,10,10,100
581,Misty Terrain,Fairy,Status,10,10,100
582,Electrify,Electric,Status,20,20,100
583,Play Rough,Fairy,Physical,10,10,90
584,Fairy Wind,Fairy,Special,30,30,100
585,Moonblast,Fairy,Special,15,15,100
586,Boomburst,Normal,Special,10,10,100
587,Fairy Lock,Fairy,Status,10,10,100
588,King's Shield,Steel,Status,10,10,100
589,Play Nice,Normal,Status,20,20,100
590,Confide,Normal,Status,20,20,100
591,Diamond Storm,Rock,Physical,5,5,95
592,Steam Eruption,Water,Special,5,5,95
593,Hyperspace Hole,Psychic,Special,5,5,100
594,Water Shuriken,Water,Physical,20,20,100
595,Mystical Fire,Fire,Special,10,10,100
596,Spiky Shield,Grass,Status,10,10,100
597,Aromatic Mist,Fairy,Status,20,20,100
598,Eerie Impulse,Electric,Status,15,15,100
599,Venom Drench,Poison,Status,20,20,100
600,Powder,Bug,Status,20,20,100
601,Geomancy,Fairy,Status,10,10,100
602,Magnetic Flux,Electric,Status,20,20,100
603,Happy Hour,Normal,Status,30,30,100
604,Electric Terrain,Electric,Status,10,10,100
605,Dazzling Gleam,Fairy,Special,10,10,100
606,Celebrate,Normal,Status,40,40,100
607,Hold Hands,Normal,Status,40,40,100
608,Baby-Doll Eyes,Fairy,Status,30,30,100
609,Nuzzle,Electric,Physical,20,20,100
610,Hold Back,Normal,Physical,40,40,100
611,Infestation,Bug,Special,20,20,100
612,Power-Up Punch,Fighting,Physical,20,20,100
613,Oblivion Wing,Flying,Special,10,10,100
614,Thousand Arrows,Ground,Physical,10,10,100
615,Thousand Waves,Ground,Physical,10,10,100
616,Land's Wrath,Ground,Physical,10,10,100
617,Light of Ruin,Fairy,Special,5,5,90
618,Origin Pulse,Water,Special,10,10,85
619,Precipice Blades,Ground,Physical,10,10,85
620,Dragon Ascent,Flying,Physical,5,5,100
621,Hyperspace Fury,Dark,Physical,5,5,100
